32938.1448  3035.110311  2.685 Th II  P
32933.5075  3035.537696  1.875 Th II  P
32897.8865  3038.824635  1.826 Th II  P
32864.1922  3041.940344  1.989 Th I   P
32852.0437  3043.065282  2.366 Th II  P
32830.4362  3045.068171  1.924 Th II  P
32810.1468  3046.951282  2.768 Th II  P
32787.1081  3049.092387  3.008 Th II  P
32778.8304  3049.862412  2.358 Th II  P
32766.7719  3050.984837  2.125 Th II  P
32758.0963  3051.792888  2.084 Th II  P
32703.9635  3056.844532  1.687 Th II  P
32691.2979  3058.028894  2.640 Th I   P
32687.0504  3058.426284  2.363 Th II  P
32665.5549  3060.438957  3.537 Th I   P
32609.6726  3065.683758  2.442 Th I   P
32607.0535  3065.930013  2.349 Th II  P
32603.7968  3066.236272  1.888 Th III P
32601.9279  3066.412051  2.263 Th II  P
32587.9284  3067.729409  3.150 Th II  P
32555.1709  3070.816328  2.823 Th II  P
32541.4093  3072.115012  3.027 Th II  P
32533.8883  3072.825235  2.574 Th II  P
32510.2823  3075.056529  2.872 Th II  P
32501.9978  3075.840368  2.009 Th II  P
32486.1696  3077.339066  2.396 Th II  P
32482.1788  3077.717166  2.804 Th I   P
32479.9133  3077.931848  2.226 Th II  P
32462.5997  3079.573497  2.010 Th I   P
32459.2906  3079.887460  2.013 Th II  P
32455.8176  3080.217043  3.199 Th II  P
32437.2424  3081.981001  2.627 Th II  P
32431.7316  3082.504712  2.418 Th I   P
32423.3943  3083.297373  2.511 Th II  P
32261.9547  3098.726877  2.372 Th I   P
32238.9486  3100.938252  2.857 Th II  P
32175.7823  3107.026136  2.708 Th II  P
32172.4623  3107.346774  1.627 Th II  P
32162.6295  3108.296793  3.298 Th II  P
32144.8001  3110.020904  2.858 Th II  P
32131.7849  3111.280689  2.225 Th I   P
32123.4389  3112.089063  1.890 Th II  P
32065.7929  3117.684010  2.623 Th II  P
32032.9480  3120.880842  2.900 Th I   P
31996.9983  3124.387391  2.958 Th II  P
31988.5854  3125.209127  2.767 Th II  P
31979.9488  3126.053162  1.955 Th II  P
31968.1370  3127.208241  2.222 Th II  P
31939.8893  3129.974056  2.009 Th II  P
31902.7324  3133.619655  2.163 Th II  P
31894.5282  3134.425744  2.752 Th II  P
31876.3216  3136.216082  3.456 Th I   P
31870.0906  3136.829275  3.245 Th I   P
31866.6099  3137.171915  1.772 Th II  P
31835.1520  3140.272028  3.332 Th I   P
31819.1916  3141.847238  2.522 Th II  P
31809.1854  3142.835605  2.853 Th II  P
31780.8584  3145.636991  3.371 Th I   P
31776.7534  3146.043368  2.822 Th II  P
31762.5666  3147.448606  2.388 Th I   P
31732.2568  3150.455077  2.675 Th II  P
31726.5981  3151.017008  1.896 Th I   P
31724.9168  3151.184006  2.058 Th I   P
31704.4513  3153.218199  1.788 Th II  P
31678.2115  3155.830181  2.469 Th II  P
31672.4864  3156.400648  2.427 Th II  P
31650.2597  3158.617344  2.055 Th II  P
31628.1672  3160.823743  1.701 Th II  P
31619.5205  3161.688137  2.050 Th II  P
31591.6096  3164.481563  2.174 Th II  P
31543.2976  3169.328492  2.585 Th II  P
31523.9325  3171.275477  3.190 Th I   P
31502.5641  3173.426654  3.396 Th I   P
31496.6841  3174.019111  2.093 Th I   P
31494.8462  3174.204340  2.665 Th II  P
31488.5476  3174.839294  2.057 Th I   P
31479.7585  3175.725737  2.964 Th II  P
31475.3844  3176.167080  2.746 Th I   P
31454.8235  3178.243304  3.492 Th I   P
31446.8599  3179.048191  3.080 Th II  P
31435.5326  3180.193754  3.623 Th II  P
31413.6864  3182.405455  2.111 Th II  P
31411.3465  3182.642528  2.243 Th II  P
31395.2254  3184.276840  2.382 Th I   P
31328.1666  3191.093121  2.384 Th II  P
31313.5215  3192.585625  3.316 Th I   P
31307.8914  3193.159769  2.110 Th II  P
31305.8413  3193.368884  2.112 Th II  P
31301.8019  3193.780994  2.540 Th I   P
31286.7854  3195.313946  1.995 Th II  P
31283.1123  3195.689137  3.457 Th I   P
31258.2688  3198.229104  2.450 Th II  P
31189.4249  3205.288757  1.948 Th II  P
31165.1789  3207.782509  2.111 Th II  P
31140.6547  3210.308825  2.696 Th II  P
31136.1068  3210.777756  2.335 Th I   P
31132.0679  3211.194319  3.300 Th I   P
31104.1694  3214.074664  3.119 Th I   P
31101.2137  3214.380124  3.019 Th I   P
31075.9064  3216.997913  2.208 Th I   P
31043.5522  3220.350851  2.541 Th II  P
31028.9721  3221.864105  2.116 Th II  P
30994.8511  3225.411053  2.825 Th II  P
30988.0497  3226.119007  2.337 Th II  P
30960.3104  3229.009593  3.082 Th II  P
30942.5029  3230.867963  2.592 Th II  P
30930.4694  3232.124977  3.343 Th I   P
30928.7355  3232.306180  3.447 Th I   P
30887.9592  3236.573413  2.134 Th I   P
30873.2476  3238.115747  3.402 Th II  P
30865.4454  3238.934310  3.088 Th I   P
30849.1544  3240.644805  3.082 Th I   P
30844.7463  3241.107950  2.706 Th II  P
30816.8363  3244.043439  2.459 Th I   P
30812.9861  3244.448809  3.580 Th I   P
30808.8774  3244.881507  1.905 Th I   P
30798.3167  3245.994211  2.328 Th I   P
30770.8303  3248.893834  2.168 Th II  P
30766.5757  3249.343128  1.853 Th I   P
30742.2353  3251.915910  3.694 Th I   P
30725.5315  3253.683861  3.010 Th I   P
30723.8122  3253.865943  3.387 Th I   P
30721.9109  3254.067323  2.902 Th I   P
30714.9020  3254.809902  2.287 Th II  P
30701.0937  3256.273854  3.075 Th II  P
30692.7221  3257.162051  2.506 Th II  P
30690.7934  3257.366748  3.648 Th I   P
30674.8403  3259.060869  3.056 Th I   P
30673.1061  3259.245136  2.051 Th II  P
30640.9238  3262.668454  3.056 Th II  P
30636.0945  3263.182781  2.751 Th I   P
30627.2832  3264.121613  2.074 Th II  P
30600.2770  3267.002454  2.508 Th II  P
30577.1843  3269.469866  2.107 Th II  P
30571.2980  3270.099402  2.339 Th I   P
30557.7805  3271.546009  2.099 Th I   P
30553.2905  3272.026800  3.655 Th I   P
30531.1099  3274.403982  1.919 Th II  P
30524.9237  3275.067597  2.744 Th II  P
30469.2802  3281.048784  2.751 Th I   P
30451.3612  3282.979571  2.403 Th II  P
30427.8644  3285.514818  2.571 Th I   P
30417.9761  3286.582912  2.662 Th II  P
30406.8152  3287.789301  3.121 Th II  P
30403.3848  3288.160274  2.333 Th II  P
30380.8473  3290.599620  2.529 Th III P
30370.3277  3291.739449  3.210 Th II  P
