0      8101.9800  2.00 Xe I
0      8151.8000  2.70 Xe II
0      8206.3400  2.85 Xe I
0      8231.6350  4.00 Xe I
0      8266.5200  2.70 Xe I
0      8280.1170  3.85 Xe I
0      8346.8230  3.30 Xe I
0      8347.2400  2.48 Xe II
0      8409.1910  3.30 Xe I
0      8576.0100  2.30 Xe I
0      8604.2300  2.18 Xe II
0      8648.5400  2.40 Xe I
0      8692.2000  2.00 Xe I
0      8696.8600  2.30 Xe I
0      8716.1900  2.18 Xe II
0      8739.3900  2.48 Xe I
0      8758.2000  2.00 Xe I
0      8819.4110  3.70 Xe I
0      8862.3200  2.48 Xe I
0      8908.7300  2.30 Xe I
0      8930.8300  2.30 Xe I
0      8952.2520  3.00 Xe I
0      8981.0500  2.00 Xe I
0      8987.5700  2.30 Xe I
0      9045.4500  2.60 Xe I
0      9162.6500  2.70 Xe I
0      9167.5200  2.00 Xe I
0      9374.7600  2.00 Xe I
0      9513.3800  2.30 Xe I
0      9685.3200  2.18 Xe I
0      9718.1600  2.00 Xe I
0      9799.7000  3.30 Xe I
0      9923.1900  3.48 Xe I
