# HITRAN linelist from IGRINSDR (with Gaussian stddev in pixels)
# units nm
# wavelengths IN VACUUM
2340.3713  3.232136
2342.049   2.261809
2351.6443  2.815868
2352.4485  4.29977
2367.2322  2.3718233
2368.947   2.4853563
2371.3904  2.3732307
2378.2122  3.691124
2383.3774  3.9802377
2384.034   4.177162
2385.9766  4.241771
2388.1494  3.94714
2391.5022  3.789864
2396.7383  3.5427878
2400.3716  2.6834047
2404.2224  3.768715
2406.1033  2.257085
2406.9778  3.577755
2407.6997  3.0203147
2411.7637  3.980883
2414.3337  4.2570705
2418.5571  4.8208876
2422.0571  2.229015
2426.3772  4.214917
2433.351   3.6875358
2442.8752  3.2843819
2447.2756  5.0183225
2448.067   3.5617242
2453.7986  2.6959176
2454.6775  5.9438143
2464.4167  3.2927558
2467.8074  4.2087836
2475.2478  2.5217748
2478.5984  3.1391919
2479.7683  3.5076382
